measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.lo,network_rx_bytes.vtarget_1,network_rx_bytes.vinternal_1,network_rx_bytes.telemetry1_sb
10,0.5,python,1638818037995,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2414240,233530,Intel(R) Xeon(R) Processor @ 2.50GHz,63,776,0,189,284023,35,0,2,31,33370,35,35,1638818038030,30568,0,2150537,90
11,0.5,python,1638818039031,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2404660,240092,Intel(R) Xeon(R) Processor @ 2.50GHz,63,814,0,193,284195,35,0,2,31,33829,101,101,1638818039132,30568,0,12823059,90
12,0.5,python,1638818040133,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403552,244016,Intel(R) Xeon(R) Processor @ 2.50GHz,63,907,0,196,284307,35,0,2,31,34008,37,37,1638818040170,30568,0,12823059,90
13,0.5,python,1638818041171,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2404432,247941,Intel(R) Xeon(R) Processor @ 2.50GHz,63,958,0,199,284471,35,0,2,32,34514,86,86,1638818041257,30568,0,23703556,90
14,0.5,python,1638818042258,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403388,251855,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1035,0,202,284597,35,0,3,32,34740,37,37,1638818042295,30568,0,24908770,90
15,0.5,python,1638818043296,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2404056,255783,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1083,0,206,284759,35,0,3,36,35183,81,81,1638818043377,30672,0,34726366,90
16,0.5,python,1638818044378,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403396,259695,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1166,0,209,284880,35,0,3,37,35391,36,36,1638818044414,30672,0,34873934,90
17,0.5,python,1638818045415,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403564,263621,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1204,0,211,285054,35,0,3,37,36077,95,95,1638818045510,30672,0,45754060,90
18,0.5,python,1638818046511,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403068,267537,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1301,0,214,285164,35,0,3,37,36260,43,43,1638818046554,30672,0,45754060,90
19,0.5,python,1638818047555,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2404032,271442,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1326,0,218,285351,35,0,4,37,36944,95,95,1638818047650,30672,0,56565808,90
