measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.telemetry1_sb,network_rx_bytes.vtarget_1,network_rx_bytes.vinternal_1,network_rx_bytes.lo
10,0.5,python,1639133752562,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544280,429286,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5839,0,427,569575,306,0,2,121,55812,140,140,1639133752702,180,0,9786,91597
11,0.5,python,1639133753704,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544280,433475,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5939,0,432,569695,306,0,2,121,56083,136,136,1639133753840,180,0,9786,91597
12,0.5,python,1639133754841,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544256,437645,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6046,0,438,569812,306,0,2,121,56404,156,156,1639133754997,180,0,9786,91597
13,0.5,python,1639133755998,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544276,441777,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6152,0,443,569929,306,0,2,122,56695,143,144,1639133756142,180,0,9786,91597
14,0.5,python,1639133757143,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544076,445948,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6258,0,449,570044,306,0,2,123,57001,139,139,1639133757282,180,0,9786,91701
15,0.5,python,1639133758283,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544280,450118,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6362,0,453,570162,306,0,2,126,57283,138,138,1639133758421,180,0,9786,91701
16,0.5,python,1639133759422,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544288,454282,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6468,0,459,570278,306,0,2,127,57570,139,139,1639133759561,180,0,9786,91701
17,0.5,python,1639133760562,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544264,458443,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6573,0,465,570394,306,0,2,128,57860,140,140,1639133760702,180,0,9786,91701
18,0.5,python,1639133761703,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544076,462610,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6678,0,470,570510,306,0,2,129,58150,139,139,1639133761842,180,0,9786,91701
19,0.5,python,1639133762843,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2543960,466759,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6784,0,476,570625,306,0,2,131,58434,138,138,1639133762981,180,0,9786,91701
